,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1464,1465,Agra,Jarar,Potato,Desi,FAQ,1200,1300,1250,2020-01-10
1649,1650,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,2020-01-10
1132,1133,Agra,Fatehpur Sikri,Potato,Local,FAQ,1250,1400,1325,2020-01-10
1317,1318,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,2020-01-10
841,842,Agra,Fatehabad,Potato,Desi,FAQ,1200,1240,1220,2020-01-10
1648,1649,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,2020-01-11
297,298,Agra,Achnera,Potato,Desi,FAQ,1220,1320,1260,2020-01-11
1818,1819,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,2020-01-11
582,583,Agra,Agra,Potato,Desi,FAQ,1200,1300,1250,2020-01-11
1316,1317,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,2020-01-11
1131,1132,Agra,Fatehpur Sikri,Potato,Local,FAQ,0,0,1300,2020-01-11
840,841,Agra,Fatehabad,Potato,Desi,FAQ,1180,1220,1200,2020-01-11
296,297,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,2020-01-12
1817,1818,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,2020-01-12
1463,1464,Agra,Jarar,Potato,Desi,FAQ,1200,1300,1250,2020-01-12
1647,1648,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,2020-01-12
295,296,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,2020-01-13
1315,1316,Agra,Jagnair,Potato,Desi,FAQ,1150,1250,1200,2020-01-13
1130,1131,Agra,Fatehpur Sikri,Potato,Local,FAQ,1220,1400,1310,2020-01-13
1646,1647,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,2020-01-13
1462,1463,Agra,Jarar,Potato,Desi,FAQ,1200,1280,1240,2020-01-13
1816,1817,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,2020-01-13
581,582,Agra,Agra,Potato,Desi,FAQ,1150,1300,1220,2020-01-13
839,840,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,2020-01-13
1461,1462,Agra,Jarar,Potato,Desi,FAQ,1200,1280,1240,2020-01-14
1815,1816,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,2020-01-14
294,295,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,2020-01-14
1314,1315,Agra,Jagnair,Potato,Desi,FAQ,1180,1340,1260,2020-01-14
580,581,Agra,Agra,Potato,Desi,FAQ,1150,1300,1220,2020-01-14
1129,1130,Agra,Fatehpur Sikri,Potato,Local,FAQ,0,0,1285,2020-01-14
293,294,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,2020-01-15
1313,1314,Agra,Jagnair,Potato,Desi,FAQ,1200,1260,1230,2020-01-15
838,839,Agra,Fatehabad,Potato,Desi,FAQ,1200,1280,1240,2020-01-15
579,580,Agra,Agra,Potato,Desi,FAQ,1150,1350,1250,2020-01-15
1645,1646,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,2020-01-15
1814,1815,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,2020-01-15
1460,1461,Agra,Jarar,Potato,Desi,FAQ,1200,1280,1240,2020-01-15
1128,1129,Agra,Fatehpur Sikri,Potato,Local,FAQ,1200,1340,1260,2020-01-15
578,579,Agra,Agra,Potato,Desi,FAQ,1150,1300,1220,2020-01-16
1644,1645,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,2020-01-16
837,838,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,2020-01-16
1459,1460,Agra,Jarar,Potato,Desi,FAQ,1200,1280,1240,2020-01-16
1312,1313,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,2020-01-16
1813,1814,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,2020-01-16
1127,1128,Agra,Fatehpur Sikri,Potato,Local,FAQ,1200,1340,1250,2020-01-17
292,293,Agra,Achnera,Potato,Desi,FAQ,1200,1260,1230,2020-01-17
1643,1644,Agra,Khairagarh,Potato,Desi,FAQ,950,1050,1000,2020-01-17
577,578,Agra,Agra,Potato,Desi,FAQ,1150,1300,1225,2020-01-17
1458,1459,Agra,Jarar,Potato,Desi,FAQ,1200,1280,1240,2020-01-17
1311,1312,Agra,Jagnair,Potato,Desi,FAQ,1200,1240,1220,2020-01-17
836,837,Agra,Fatehabad,Potato,Desi,FAQ,1180,1220,1200,2020-01-17
1642,1643,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,2020-01-18
291,292,Agra,Achnera,Potato,Desi,FAQ,1200,1260,1230,2020-01-18
576,577,Agra,Agra,Potato,Desi,FAQ,1180,1350,1260,2020-01-18
1812,1813,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,2020-01-18
835,836,Agra,Fatehabad,Potato,Desi,FAQ,1150,1250,1200,2020-01-18
1310,1311,Agra,Jagnair,Potato,Desi,FAQ,1200,1260,1230,2020-01-18
1126,1127,Agra,Fatehpur Sikri,Potato,Local,FAQ,1180,1340,1265,2020-01-18
290,291,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,2020-01-19
1457,1458,Agra,Jarar,Potato,Desi,FAQ,1000,1100,1050,2020-01-19
1811,1812,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,2020-01-19
834,835,Agra,Fatehabad,Potato,Desi,FAQ,1000,1100,1050,2020-01-19
833,834,Agra,Fatehabad,Potato,Desi,FAQ,1180,1220,1200,2020-01-20
1810,1811,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,2020-01-20
289,290,Agra,Achnera,Potato,Desi,FAQ,1220,1300,1260,2020-01-20
1456,1457,Agra,Jarar,Potato,Desi,FAQ,1200,1300,1250,2020-01-20
575,576,Agra,Agra,Potato,Desi,FAQ,1200,1400,1300,2020-01-20
1125,1126,Agra,Fatehpur Sikri,Potato,Local,FAQ,1150,1350,1230,2020-01-20
1641,1642,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,2020-01-20
574,575,Agra,Agra,Potato,Desi,FAQ,1200,1350,1280,2020-01-21
